75962,15569,82464
90767,72503,77477
97183,32019,7138
92775,55551,42194
28472,75807,37222
1918,98619,58088
5373,58532,9490
40489,82057,3777
37597,88962,96153
68654,19708,52793
85228,29283,44877
64366,83470,45452
85013,7396,54511
22140,81200,80429
73962,80345,79496
165,45555,98000
63785,76752,56049
74521,67955,94850
66881,37600,1684
70044,79584,41335
87701,42331,42434
57754,60596,65270
27735,85504,2824
51189,63446,50094
10454,16164,55321
49040,64534,11579
62736,65829,92365
36759,64423,91298
2354,55724,61363
16317,65491,23463
50287,1112,52614
97853,70152,53826
58908,33279,78374
22630,3127,33953
76707,94688,58749
77913,46888,13351
95854,97476,12319
47848,6669,35791
48139,42723,83039
60969,72556,15866
72137,54428,66882
82798,76470,45553
60360,42557,88093
14134,44039,38596
64442,50314,31090
91679,7180,50675
90205,15140,96453
41844,45271,54479
44080,89318,54903
20607,51784,50561
76636,408,18400
25595,44780,60552
14849,4873,80626
4953,2082,99136
36743,86898,77590
96881,1636,11258
5536,46118,50507
27165,77138,14018
86038,8122,7445
83120,29106,34390
55599,89861,72474
35950,44650,70616
25631,66231,98079
24371,50840,64343
30559,27861,9769
22938,64879,98839
17121,20310,63210
22584,88706,48199
84323,64121,2432
84418,17399,38690
83512,24327,13774
12026,21552,13736
89236,33085,14346
73775,8132,49228
68756,95030,76029
28763,25651,12715
57480,80673,86882
79447,29563,55469
25963,89166,68528
75149,49342,778
16660,41535,26037
78186,68105,29558
24191,33407,57326
80870,33710,99600
1217,70397,34382
3199,87826,47668
4240,70040,81019
31045,88964,24791
13734,8013,50824
295,23576,21679
36288,2173,76268
82365,91594,1471
66339,64998,82124
95921,54196,45838
46561,69004,26088
5393,23183,30093
63088,14162,841
72261,99366,11802
69600,84527,93914
52459,18952,89280
46496,85236,68785
94198,53777,61178
29031,91150,28812
50758,97380,56246
32976,38972,95551
98596,88047,60718
58121,27459,24668
95860,64434,4502
66628,61130,4016
80234,66065,91624
95416,80471,68131
76292,13550,73398
53405,4221,93125
62913,48291,48092
57509,85807,6846
90875,10487,44734
8650,25940,30519
55254,26014,90580
25968,82420,37341
40850,68565,62964
82094,30843,89584
65069,4447,12905
37528,4855,38133
43859,91684,81923
73026,35209,57129
94715,75688,67669
33246,67983,31116
49396,19750,51617
32997,6394,66737
3482,84872,77843
74193,34096,27482
50312,32565,92337
78539,5998,70748
97044,43756,11328
37698,47112,23000
14532,5802,63745
17194,12279,10275
63583,21446,45550
61764,25114,32685
79575,16833,76745
78026,49637,11225
959,88358,27824
47252,51837,63359
1288,43011,23963
44893,92372,56585
